country,firearms,per100,military,lawEnf
United States,393347000,120.5,4535380,1016000
Falkland Islands,2000,62.1,,30
Yemen,14859000,52.8,28500,
New Caledonia,115000,42.5,,700
Serbia,2719000,39.1,384422,53100
Montenegro,245000,39.1,5396,8000
Canada,12708000,34.7,233949,103000
Uruguay,1198000,34.7,62130,30000
Cyprus,285000,34,99000,11000
Finland,1793000,32.4,475030,14000
Lebanon,1927000,31.9,130150,41000
Iceland,106000,31.7,650,590
Bosnia and Herzegovina,1185000,31.2,27300,29000
Austria,2577000,30,240880,37900
North Macedonia,621000,29.8,29530,21000
Norway,1537000,28.8,188646,13000
Liechtenstein,11000,28.8,,200
Malta,119000,28.3,5547,1637
Switzerland,2332000,27.6,324484,34000
New Zealand,1212000,26.3,38280,13000
Sweden,2296000,23.1,139180,38000
Pakistan,43917000,22.3,2315480,944000
Greenland,13000,22.3,,300
Portugal,2186000,21.3,333640,89000
Germany,15822000,19.6,483016,466000
France,12732000,19.6,566430,497000
Iraq,7588000,19.6,611000,56000
Reunion,171000,19.6,,2000
French Guiana,55000,19.6,,2000
Monaco,7000,19.6,,1000
Luxembourg,110000,18.9,2340,5000
Bahamas,74000,18.8,2470,5000
Jordan,1473000,18.7,286450,60000
Venezuela,5895000,18.5,353300,173000
Greece,1920000,17.6,642510,99000
Saudi Arabia,5468000,16.7,481350,214000
United Arab Emirates,1569000,16.7,163800,41000
Paraguay,1140000,16.7,235780,21000
Oman,792000,16.7,118360,31000
Kuwait,685000,16.7,82580,11000
Qatar,390000,16.7,30680,5000
United States Virgin Islands,18000,16.6,,300
Turkey,13249000,16.5,1390180,620000
Suriname,88000,15.9,5985,2000
Guyana,122000,15.8,10890,4000
Slovenia,324000,15.6,131686,13000
Namibia,396000,15.4,11880,15000
Thailand,10342000,15.1,1052815,230000
Australia,3573000,14.5,214520,69000
Italy,8609000,14.4,502960,273000
San Marino,5000,14.4,,160
Honduras,1171000,14.1,107720,29000
Andorra,10000,14.1,,976
Croatia,576000,13.7,75120,39000
Lithuania,385000,13.6,81240,17000
Libya,851000,13.3,,
Mexico,16809000,12.9,895285,591000
Bahrain,181000,12.8,25796,20000
Belgium,1451000,12.7,80880,78000
Afghanistan,4270000,12.5,331170,239000
Czech Republic,1323000,12.5,157233,76000
Equatorial Guinea,112000,12.5,2760,2000
Somalia,1145000,12.4,37620,8000
Russia,17620000,12.3,30272900,2432000
Chile,2220000,12.1,311900,66000
Guatemala,2062000,12.1,160600,43000
El Salvador,737000,12,127840,30000
Albania,350000,12,21750,19000
Guam,20000,11.5,,500
Angola,2982000,11.2,203300,60000
Panama,436000,10.8,,30000
Hungary,1023000,10.5,147880,17000
Latvia,205000,10.5,27936,17000
Colombia,4971000,10.1,350689,283000
Georgia,402000,10.1,63950,41000
Samoa,20000,10.1,,500
Costa Rica,493000,10,,17000
Belize,37000,10,3690,2000
